Training DQN - Running untill 100 consecutive successes with low epsilon...
Episode 117: Reward=-86.9, Steps=300, Eps=0.556, Streak=0, Success=False
Episode 118: Reward=-117.0, Steps=207, Eps=0.554, Streak=0, Success=False
Episode 119: Reward=-97.3, Steps=300, Eps=0.551, Streak=0, Success=False
Episode 120: Reward=-79.3, Steps=300, Eps=0.548, Streak=0, Success=False
Episode 121: Reward=-87.8, Steps=300, Eps=0.545, Streak=0, Success=False
Episode 122: Reward=-114.4, Steps=300, Eps=0.543, Streak=0, Success=False
Episode 123: Reward=-101.0, Steps=20, Eps=0.540, Streak=0, Success=False
Episode 124: Reward=-75.5, Steps=300, Eps=0.537, Streak=0, Success=False
Episode 125: Reward=-133.6, Steps=123, Eps=0.534, Streak=0, Success=False
Episode 126: Reward=-164.7, Steps=300, Eps=0.532, Streak=0, Success=False
Episode 127: Reward=-163.8, Steps=300, Eps=0.529, Streak=0, Success=False
Episode 128: Reward=-101.3, Steps=27, Eps=0.526, Streak=0, Success=False
Episode 129: Reward=-113.4, Steps=300, Eps=0.524, Streak=0, Success=False
Episode 130: Reward=-101.2, Steps=25, Eps=0.521, Streak=0, Success=False
Episode 131: Reward=-100.6, Steps=13, Eps=0.519, Streak=0, Success=False
Episode 132: Reward=-76.4, Steps=300, Eps=0.516, Streak=0, Success=False
Episode 133: Reward=-100.6, Steps=13, Eps=0.513, Streak=0, Success=False
Episode 134: Reward=-117.2, Steps=300, Eps=0.511, Streak=0, Success=False
Episode 135: Reward=-101.3, Steps=27, Eps=0.508, Streak=0, Success=False
Episode 136: Reward=-166.6, Steps=300, Eps=0.506, Streak=0, Success=False
Episode 137: Reward=-95.4, Steps=300, Eps=0.503, Streak=0, Success=False
Episode 138: Reward=-101.1, Steps=300, Eps=0.501, Streak=0, Success=False
Episode 139: Reward=-122.0, Steps=300, Eps=0.498, Streak=0, Success=False
Episode 140: Reward=-100.9, Steps=19, Eps=0.496, Streak=0, Success=False
Episode 141: Reward=-110.6, Steps=175, Eps=0.493, Streak=0, Success=False
Episode 142: Reward=-101.2, Steps=26, Eps=0.491, Streak=0, Success=False
Episode 143: Reward=-129.6, Steps=300, Eps=0.488, Streak=0, Success=False
Episode 144: Reward=-110.3, Steps=130, Eps=0.486, Streak=0, Success=False
Episode 145: Reward=-102.9, Steps=59, Eps=0.483, Streak=0, Success=False
Episode 146: Reward=-150.5, Steps=300, Eps=0.481, Streak=0, Success=False
Episode 147: Reward=-102.5, Steps=52, Eps=0.479, Streak=0, Success=False
Episode 148: Reward=-108.7, Steps=300, Eps=0.476, Streak=0, Success=False
Episode 149: Reward=-80.2, Steps=300, Eps=0.474, Streak=0, Success=False
Episode 150: Reward=-101.4, Steps=29, Eps=0.471, Streak=0, Success=False
Episode 151: Reward=-151.8, Steps=240, Eps=0.469, Streak=0, Success=False
Episode 152: Reward=-66.9, Steps=300, Eps=0.467, Streak=0, Success=False
Episode 153: Reward=-82.1, Steps=300, Eps=0.464, Streak=0, Success=False
Episode 154: Reward=-100.9, Steps=19, Eps=0.462, Streak=0, Success=False
Episode 155: Reward=-142.3, Steps=183, Eps=0.460, Streak=0, Success=False
Episode 156: Reward=-76.4, Steps=300, Eps=0.458, Streak=0, Success=False
Episode 157: Reward=-116.5, Steps=102, Eps=0.455, Streak=0, Success=False
Episode 158: Reward=-111.7, Steps=177, Eps=0.453, Streak=0, Success=False
Episode 159: Reward=-106.4, Steps=91, Eps=0.451, Streak=0, Success=False
Episode 160: Reward=-108.3, Steps=167, Eps=0.448, Streak=0, Success=False
Episode 161: Reward=-102.9, Steps=59, Eps=0.446, Streak=0, Success=False
Episode 162: Reward=-111.3, Steps=189, Eps=0.444, Streak=0, Success=False
Episode 163: Reward=-100.6, Steps=13, Eps=0.442, Streak=0, Success=False
Episode 164: Reward=-125.2, Steps=200, Eps=0.440, Streak=0, Success=False
Episode 165: Reward=-123.7, Steps=189, Eps=0.437, Streak=0, Success=False
Episode 166: Reward=-107.7, Steps=155, Eps=0.435, Streak=0, Success=False
Episode 167: Reward=-100.9, Steps=19, Eps=0.433, Streak=0, Success=False
Episode 168: Reward=-113.2, Steps=151, Eps=0.431, Streak=0, Success=False
Episode 169: Reward=-105.5, Steps=92, Eps=0.429, Streak=0, Success=False
Episode 170: Reward=-83.1, Steps=300, Eps=0.427, Streak=0, Success=False
Episode 171: Reward=-101.5, Steps=31, Eps=0.424, Streak=0, Success=False
Episode 172: Reward=-101.2, Steps=25, Eps=0.422, Streak=0, Success=False
Episode 173: Reward=-100.8, Steps=17, Eps=0.420, Streak=0, Success=False
Episode 174: Reward=-102.8, Steps=56, Eps=0.418, Streak=0, Success=False
Episode 175: Reward=-102.8, Steps=58, Eps=0.416, Streak=0, Success=False
Episode 176: Reward=-101.2, Steps=26, Eps=0.414, Streak=0, Success=False
Episode 177: Reward=-111.6, Steps=232, Eps=0.412, Streak=0, Success=False
Episode 178: Reward=-112.2, Steps=244, Eps=0.410, Streak=0, Success=False
Episode 179: Reward=-104.9, Steps=99, Eps=0.408, Streak=0, Success=False
Episode 180: Reward=-102.5, Steps=51, Eps=0.406, Streak=0, Success=False
Episode 181: Reward=-100.2, Steps=6, Eps=0.404, Streak=0, Success=False
Episode 182: Reward=-103.5, Steps=72, Eps=0.402, Streak=0, Success=False
Episode 183: Reward=-101.3, Steps=27, Eps=0.400, Streak=0, Success=False
Episode 184: Reward=-103.6, Steps=74, Eps=0.398, Streak=0, Success=False
Episode 185: Reward=-104.6, Steps=94, Eps=0.396, Streak=0, Success=False
Episode 186: Reward=-103.2, Steps=65, Eps=0.394, Streak=0, Success=False
Episode 187: Reward=-108.2, Steps=165, Eps=0.392, Streak=0, Success=False
Episode 188: Reward=-104.7, Steps=96, Eps=0.390, Streak=0, Success=False
Episode 189: Reward=-109.9, Steps=199, Eps=0.388, Streak=0, Success=False
Episode 190: Reward=-111.6, Steps=232, Eps=0.386, Streak=0, Success=False
Episode 191: Reward=-106.5, Steps=131, Eps=0.384, Streak=0, Success=False
Episode 192: Reward=-101.2, Steps=26, Eps=0.382, Streak=0, Success=False
Episode 193: Reward=-106.1, Steps=124, Eps=0.380, Streak=0, Success=False
Episode 194: Reward=-100.5, Steps=10, Eps=0.378, Streak=0, Success=False
Episode 195: Reward=-101.7, Steps=35, Eps=0.376, Streak=0, Success=False
Episode 196: Reward=-127.7, Steps=250, Eps=0.374, Streak=0, Success=False
Episode 197: Reward=-100.8, Steps=17, Eps=0.373, Streak=0, Success=False
Episode 198: Reward=-101.6, Steps=33, Eps=0.371, Streak=0, Success=False
Episode 199: Reward=-107.3, Steps=148, Eps=0.369, Streak=0, Success=False
Episode 200: Reward=-101.4, Steps=29, Eps=0.367, Streak=0, Success=False
Episode 201: Reward=-65.0, Steps=300, Eps=0.365, Streak=0, Success=False
Episode 202: Reward=-116.9, Steps=282, Eps=0.363, Streak=0, Success=False
Episode 203: Reward=-101.8, Steps=36, Eps=0.361, Streak=0, Success=False
Episode 204: Reward=-102.1, Steps=43, Eps=0.360, Streak=0, Success=False
Episode 205: Reward=-110.6, Steps=300, Eps=0.358, Streak=0, Success=False
Episode 206: Reward=-101.6, Steps=33, Eps=0.356, Streak=0, Success=False
Episode 207: Reward=-100.4, Steps=9, Eps=0.354, Streak=0, Success=False
Episode 208: Reward=-112.8, Steps=256, Eps=0.353, Streak=0, Success=False
Episode 209: Reward=-101.4, Steps=29, Eps=0.351, Streak=0, Success=False
Episode 210: Reward=-102.1, Steps=43, Eps=0.349, Streak=0, Success=False
Episode 211: Reward=-86.8, Steps=300, Eps=0.347, Streak=0, Success=False
Episode 212: Reward=-101.5, Steps=31, Eps=0.346, Streak=0, Success=False
Episode 213: Reward=-100.5, Steps=11, Eps=0.344, Streak=0, Success=False
Episode 214: Reward=-100.5, Steps=12, Eps=0.342, Streak=0, Success=False
Episode 215: Reward=-101.2, Steps=25, Eps=0.340, Streak=0, Success=False
Episode 216: Reward=-111.4, Steps=209, Eps=0.339, Streak=0, Success=False
Episode 217: Reward=-103.5, Steps=71, Eps=0.337, Streak=0, Success=False
Episode 218: Reward=-131.1, Steps=147, Eps=0.335, Streak=0, Success=False
Episode 219: Reward=-100.5, Steps=10, Eps=0.334, Streak=0, Success=False
Episode 220: Reward=-101.0, Steps=21, Eps=0.332, Streak=0, Success=False
Episode 221: Reward=-101.2, Steps=26, Eps=0.330, Streak=0, Success=False
Episode 222: Reward=-103.1, Steps=63, Eps=0.329, Streak=0, Success=False
Episode 223: Reward=-103.3, Steps=67, Eps=0.327, Streak=0, Success=False
Episode 224: Reward=-103.0, Steps=61, Eps=0.325, Streak=0, Success=False
Episode 225: Reward=-69.8, Steps=300, Eps=0.324, Streak=0, Success=False
Episode 226: Reward=-101.2, Steps=25, Eps=0.322, Streak=0, Success=False
Episode 227: Reward=-101.8, Steps=37, Eps=0.321, Streak=0, Success=False
Episode 228: Reward=-100.7, Steps=15, Eps=0.319, Streak=0, Success=False
Episode 229: Reward=-104.9, Steps=99, Eps=0.317, Streak=0, Success=False
Episode 230: Reward=-101.7, Steps=34, Eps=0.316, Streak=0, Success=False
Episode 231: Reward=-100.8, Steps=17, Eps=0.314, Streak=0, Success=False
Episode 232: Reward=-104.6, Steps=94, Eps=0.313, Streak=0, Success=False
Episode 233: Reward=-124.8, Steps=212, Eps=0.311, Streak=0, Success=False
Episode 234: Reward=-68.8, Steps=300, Eps=0.309, Streak=0, Success=False
Episode 235: Reward=-100.5, Steps=12, Eps=0.308, Streak=0, Success=False
Episode 236: Reward=-100.7, Steps=14, Eps=0.306, Streak=0, Success=False
Episode 237: Reward=-101.3, Steps=27, Eps=0.305, Streak=0, Success=False
Episode 238: Reward=-100.3, Steps=7, Eps=0.303, Streak=0, Success=False
Episode 239: Reward=-100.6, Steps=13, Eps=0.302, Streak=0, Success=False
Episode 240: Reward=-100.6, Steps=13, Eps=0.300, Streak=0, Success=False
Episode 241: Reward=-109.0, Steps=182, Eps=0.299, Streak=0, Success=False
Episode 242: Reward=-125.8, Steps=300, Eps=0.297, Streak=0, Success=False
Episode 243: Reward=-103.4, Steps=69, Eps=0.296, Streak=0, Success=False
Episode 244: Reward=-80.2, Steps=300, Eps=0.294, Streak=0, Success=False
Episode 245: Reward=-100.6, Steps=13, Eps=0.293, Streak=0, Success=False
Episode 246: Reward=-104.1, Steps=84, Eps=0.291, Streak=0, Success=False
Episode 247: Reward=-106.5, Steps=131, Eps=0.290, Streak=0, Success=False
Episode 248: Reward=-85.9, Steps=300, Eps=0.288, Streak=0, Success=False
Episode 249: Reward=-151.4, Steps=300, Eps=0.287, Streak=0, Success=False
Episode 250: Reward=-105.8, Steps=300, Eps=0.286, Streak=0, Success=False
Episode 251: Reward=-111.5, Steps=230, Eps=0.284, Streak=0, Success=False
Episode 252: Reward=-84.0, Steps=300, Eps=0.283, Streak=0, Success=False
Episode 253: Reward=-68.8, Steps=300, Eps=0.281, Streak=0, Success=False
Episode 254: Reward=-77.4, Steps=300, Eps=0.280, Streak=0, Success=False
Episode 255: Reward=-100.5, Steps=11, Eps=0.279, Streak=0, Success=False
Episode 256: Reward=-100.4, Steps=9, Eps=0.277, Streak=0, Success=False
Episode 257: Reward=-101.2, Steps=26, Eps=0.276, Streak=0, Success=False
Episode 258: Reward=-101.5, Steps=31, Eps=0.274, Streak=0, Success=False
Episode 259: Reward=-105.3, Steps=108, Eps=0.273, Streak=0, Success=False
Episode 260: Reward=-73.6, Steps=300, Eps=0.272, Streak=0, Success=False
Episode 261: Reward=-150.5, Steps=300, Eps=0.270, Streak=0, Success=False
Episode 262: Reward=-77.4, Steps=300, Eps=0.269, Streak=0, Success=False
Episode 263: Reward=-69.8, Steps=300, Eps=0.268, Streak=0, Success=False
Episode 264: Reward=-100.6, Steps=13, Eps=0.266, Streak=0, Success=False
Episode 265: Reward=-67.9, Steps=300, Eps=0.265, Streak=0, Success=False
Episode 266: Reward=-82.1, Steps=300, Eps=0.264, Streak=0, Success=False
Episode 267: Reward=-68.8, Steps=300, Eps=0.262, Streak=0, Success=False
Episode 268: Reward=-66.0, Steps=300, Eps=0.261, Streak=0, Success=False
Episode 269: Reward=-128.5, Steps=247, Eps=0.260, Streak=0, Success=False
Episode 270: Reward=-127.6, Steps=249, Eps=0.258, Streak=0, Success=False
Episode 271: Reward=-118.2, Steps=300, Eps=0.257, Streak=0, Success=False
Episode 272: Reward=-86.9, Steps=300, Eps=0.256, Streak=0, Success=False
Episode 273: Reward=-107.7, Steps=300, Eps=0.255, Streak=0, Success=False
Episode 274: Reward=-66.9, Steps=300, Eps=0.253, Streak=0, Success=False
Episode 275: Reward=-100.3, Steps=7, Eps=0.252, Streak=0, Success=False
Episode 276: Reward=-75.5, Steps=300, Eps=0.251, Streak=0, Success=False
Episode 277: Reward=-100.2, Steps=6, Eps=0.249, Streak=0, Success=False
Episode 278: Reward=-70.7, Steps=300, Eps=0.248, Streak=0, Success=False
Episode 279: Reward=-100.9, Steps=19, Eps=0.247, Streak=0, Success=False
Episode 280: Reward=-177.1, Steps=300, Eps=0.246, Streak=0, Success=False
Episode 281: Reward=-103.5, Steps=71, Eps=0.245, Streak=0, Success=False
Episode 282: Reward=-100.6, Steps=13, Eps=0.243, Streak=0, Success=False
Episode 283: Reward=-100.1, Steps=300, Eps=0.242, Streak=0, Success=False
Episode 284: Reward=-97.3, Steps=300, Eps=0.241, Streak=0, Success=False
Episode 285: Reward=-65.0, Steps=300, Eps=0.240, Streak=0, Success=False
Episode 286: Reward=-100.6, Steps=13, Eps=0.238, Streak=0, Success=False
Episode 287: Reward=-100.5, Steps=11, Eps=0.237, Streak=0, Success=False
Episode 288: Reward=-81.2, Steps=300, Eps=0.236, Streak=0, Success=False
Episode 289: Reward=-100.8, Steps=16, Eps=0.235, Streak=0, Success=False
Episode 290: Reward=-90.6, Steps=300, Eps=0.234, Streak=0, Success=False
Episode 291: Reward=-93.5, Steps=300, Eps=0.233, Streak=0, Success=False
Episode 292: Reward=-100.6, Steps=13, Eps=0.231, Streak=0, Success=False
Episode 293: Reward=-65.0, Steps=300, Eps=0.230, Streak=0, Success=False
Episode 294: Reward=-102.2, Steps=44, Eps=0.229, Streak=0, Success=False
Episode 295: Reward=-100.6, Steps=13, Eps=0.228, Streak=0, Success=False
Episode 296: Reward=-100.4, Steps=9, Eps=0.227, Streak=0, Success=False
Episode 297: Reward=-100.2, Steps=6, Eps=0.226, Streak=0, Success=False
Episode 298: Reward=-101.7, Steps=35, Eps=0.225, Streak=0, Success=False
Episode 299: Reward=-100.8, Steps=16, Eps=0.223, Streak=0, Success=False
Episode 300: Reward=-65.0, Steps=300, Eps=0.222, Streak=0, Success=False
Episode 301: Reward=-65.0, Steps=300, Eps=0.221, Streak=0, Success=False
Episode 302: Reward=-76.4, Steps=300, Eps=0.220, Streak=0, Success=False
Episode 303: Reward=-103.9, Steps=79, Eps=0.219, Streak=0, Success=False
Episode 304: Reward=-100.3, Steps=8, Eps=0.218, Streak=0, Success=False
Episode 305: Reward=-71.7, Steps=300, Eps=0.217, Streak=0, Success=False
Episode 306: Reward=-100.7, Steps=14, Eps=0.216, Streak=0, Success=False
Episode 307: Reward=-107.7, Steps=300, Eps=0.215, Streak=0, Success=False
